index,input_cultural,output_cultural,input_text,output_text
0,1,2,5,5
1,3,5,5,5
2,3,4,5,5
3,3,3,5,5
4,4,4,5,5
5,2,3,4,5
6,3,3,4,4
7,4,5,5,5
8,1,2,5,5
9,1,5,5,5
10,1,5,4,3
11,1,1,5,5
12,1,5,5,5
13,1,3,4,4
14,1,5,5,5
15,2,3,5,5
16,1,4,5,5
17,4,3,5,5
18,3,5,3,5
19,2,1,5,3
20,1,2,5,5
21,3,2,5,5
22,2,2,5,5
23,5,3,5,5
24,2,3,5,5
25,3,3,4,4
26,1,1,5,5
27,2,2,5,5
28,1,1,5,5
29,3,3,5,5
30,4,4,5,5
31,3,1,5,5
32,1,1,3,3
33,2,1,5,5
34,1,3,5,5
35,1,2,5,5
36,4,4,5,5
37,3,1,5,5
38,3,3,5,5
39,1,1,4,4
40,1,2,5,5
41,4,4,5,5
42,4,4,1,1
43,1,4,5,5
44,1,5,5,5
45,1,4,5,5
46,3,4,5,5
47,1,4,4,4
48,1,2,5,5
49,1,1,2,5
50,1,2,5,5
51,2,4,4,4
52,1,2,1,2
53,3,5,5,5
54,3,4,5,5
55,2,1,4,3
56,5,5,5,5
57,1,5,3,3
58,1,2,4,3
59,4,5,5,5
60,4,4,4,4
61,4,4,5,5
62,2,2,5,5
63,2,2,5,5
64,3,3,5,5
65,3,3,5,5
66,2,2,5,5
67,2,3,4,3
68,1,2,5,5
69,3,3,5,5
70,3,3,5,5
71,2,2,5,5
72,4,4,5,5
73,1,3,5,4
74,3,3,4,4
75,4,4,5,5
76,2,2,5,5
77,3,3,4,4
78,1,2,3,3
79,1,5,5,5
80,3,3,5,5
81,3,3,5,5
82,2,2,5,5
83,3,3,5,5
84,1,1,5,5
85,2,2,5,5
86,1,1,5,5
87,5,5,4,4
88,2,3,5,5
89,1,3,5,3
90,3,3,5,5
91,2,4,5,5
92,1,3,5,5
93,1,2,5,5
94,1,1,4,4
95,1,5,5,5
96,3,3,5,2
97,2,2,5,5
98,2,2,4,4
99,1,5,5,5
100,2,2,5,5
101,2,3,4,1
102,5,3,5,1
103,4,4,5,5
104,4,3,4,4
105,1,2,5,5
106,2,2,1,1
107,3,3,3,3
108,3,2,4,1
109,2,3,3,3
