index,input_cultural,output_cultural,input_text,output_text
0,1,4,5,5
1,1,4,5,5
2,2,4,5,5
3,4,3,5,5
4,5,1,5,5
5,5,4,5,5
6,3,1,5,1
7,1,3,5,5
8,2,2,5,5
9,1,5,5,5
10,1,5,5,5
11,1,5,5,5
12,1,4,5,5
13,1,5,5,5
14,1,1,5,4
15,2,2,3,3
16,1,3,5,5
17,2,4,5,5
18,1,1,3,3
19,3,4,5,5
20,3,5,5,5
21,1,5,5,5
22,1,5,5,5
23,1,4,5,5
24,3,2,5,5
25,1,2,5,5
26,1,1,4,4
27,3,3,5,5
28,2,1,5,5
29,1,1,5,5
30,3,3,5,5
31,2,2,5,5
32,1,1,4,4
33,1,5,5,5
34,1,5,5,5
35,1,1,5,5
36,1,1,5,5
37,3,5,5,5
38,2,4,5,5
39,1,4,5,5
40,1,4,5,5
41,5,1,5,5
42,1,5,5,5
43,1,3,5,5
44,5,2,5,5
45,1,4,5,5
46,1,5,5,5
47,2,2,5,5
48,1,5,5,5
49,1,4,5,5
50,1,3,5,5
51,2,5,3,3
52,1,4,5,5
53,5,2,5,5
54,1,3,4,4
55,1,3,5,5
56,2,4,5,5
57,3,5,2,2
58,1,3,5,5
59,5,1,5,5
60,1,2,5,5
61,3,5,5,5
62,1,5,5,5
63,4,5,5,5
64,4,4,4,4
65,1,1,5,5
66,2,5,5,5
67,1,1,5,5
68,1,4,5,5
69,3,5,5,5
70,2,5,5,5
71,2,5,5,5
72,5,3,5,5
73,1,4,5,5
74,3,4,5,5
75,3,4,5,5
76,4,4,5,5
77,4,3,1,1
78,1,5,5,5
79,1,1,5,5
80,2,5,5,5
81,3,3,5,5
82,4,1,5,5
83,3,5,5,5
84,1,5,5,5
85,3,5,5,5
86,1,3,5,5
87,2,2,5,5
88,1,4,5,5
89,1,2,5,5
90,3,4,5,5
91,1,2,5,5
92,1,4,5,5
93,1,4,5,5
94,1,4,5,5
95,1,5,5,5
96,1,4,1,1
97,3,3,1,1
98,1,5,5,5
99,1,2,5,5
100,4,2,5,5
101,1,1,5,5
102,3,3,5,5
103,3,3,5,5
104,3,2,5,1
105,1,1,5,1
106,1,4,1,1
107,2,4,5,5
108,4,4,5,5
109,4,4,4,4
