index,input_cultural,output_cultural,input_text,output_text
0,1,1,5,5
1,2,4,5,5
2,4,5,5,5
3,3,3,5,5
4,1,1,5,5
5,2,2,5,5
6,2,2,5,5
7,5,1,5,5
8,1,3,5,5
9,1,1,5,5
10,1,1,5,3
11,3,3,5,5
12,1,1,5,3
13,1,3,4,4
14,1,4,5,5
15,1,5,5,5
16,1,4,5,4
17,1,2,5,5
18,1,3,5,5
19,1,1,5,1
20,1,1,5,5
21,5,4,5,5
22,1,1,5,5
23,5,5,5,5
24,2,2,5,5
25,5,5,3,3
26,1,1,4,4
27,1,2,5,5
28,1,1,5,5
29,1,1,5,5
30,2,3,5,5
31,3,3,5,5
32,1,1,1,1
33,2,2,5,5
34,1,2,5,5
35,1,1,5,5
36,2,2,5,5
37,1,1,5,5
38,1,1,5,5
39,1,1,5,5
40,1,1,5,5
41,1,1,5,5
42,2,1,4,3
43,1,4,5,5
44,1,5,5,5
45,1,2,5,5
46,1,1,5,5
47,1,3,3,3
48,1,1,3,5
49,1,1,4,5
50,1,1,5,5
51,1,5,3,3
52,1,3,4,5
53,4,4,5,5
54,1,1,5,5
55,1,1,5,4
56,5,5,5,5
57,1,1,3,3
58,1,1,4,4
59,3,5,5,5
60,3,2,4,4
61,1,1,5,5
62,1,1,5,5
63,5,3,5,5
64,1,3,5,5
65,1,1,5,5
66,1,1,5,5
67,1,1,5,5
68,1,5,5,5
69,2,1,5,2
70,4,4,5,5
71,5,5,5,5
72,2,5,5,5
73,1,3,4,4
74,5,5,5,5
75,4,4,5,5
76,1,1,5,5
77,1,1,2,2
78,1,2,5,5
79,1,5,5,5
80,2,2,5,5
81,5,5,5,5
82,5,5,5,5
83,2,2,5,5
84,1,1,5,5
85,4,4,5,5
86,1,1,5,5
87,4,4,5,5
88,4,3,5,5
89,1,1,5,5
90,1,1,5,5
91,1,2,5,5
92,1,2,3,3
93,1,4,5,5
94,1,1,5,5
95,1,5,5,5
96,1,1,3,1
97,2,2,5,5
98,1,1,5,5
99,1,5,5,5
100,1,1,1,1
101,1,1,4,1
102,4,2,3,1
103,1,1,4,4
104,1,2,1,1
105,1,1,1,1
106,1,1,1,1
107,1,1,4,3
108,1,1,3,1
109,1,1,4,4
