index,input_cultural,output_cultural,input_text,output_text
0,1,1,5,4
1,3,3,4,5
2,1,1,4,4
3,3,3,5,5
4,4,4,5,5
5,4,4,5,5
6,3,3,5,5
7,1,2,5,5
8,2,3,3,2
9,1,4,5,5
10,3,3,4,5
11,3,3,5,5
12,2,3,5,5
13,1,3,5,5
14,3,3,5,5
15,2,3,5,5
16,3,3,5,5
17,3,3,5,5
18,1,1,4,4
19,3,4,4,4
20,2,4,4,4
21,3,3,4,4
22,3,4,5,5
23,1,1,5,5
24,1,3,2,2
25,3,3,4,4
26,4,2,5,2
27,3,3,4,3
28,2,2,3,3
29,1,1,4,4
30,2,4,5,5
31,2,3,5,5
32,1,5,3,3
33,2,3,5,5
34,1,4,5,5
35,1,3,5,5
36,3,2,5,4
37,1,4,5,5
38,3,3,5,5
39,3,3,5,5
40,1,4,5,5
41,3,5,5,2
42,3,3,4,4
43,1,4,5,4
44,2,2,5,5
45,4,4,1,1
46,4,5,5,5
47,1,4,5,5
48,3,3,5,5
49,2,3,5,5
50,3,4,5,5
51,3,3,5,5
52,1,2,4,4
53,3,3,5,3
54,1,4,5,5
55,1,3,3,4
56,3,4,5,5
57,1,1,5,2
58,2,4,5,5
59,3,3,5,5
60,2,3,4,4
61,4,4,5,5
62,3,3,5,5
63,3,3,5,5
64,3,4,4,2
65,4,2,5,3
66,3,3,5,5
67,1,1,4,4
68,2,2,5,5
69,3,2,5,4
70,2,2,4,4
71,3,4,5,5
72,2,4,5,5
73,1,2,4,4
74,4,4,5,5
75,3,3,5,5
76,3,3,5,5
77,3,5,4,4
78,1,3,4,4
79,3,3,5,5
80,3,3,5,5
81,3,3,5,5
82,1,3,5,5
83,3,3,5,5
84,1,1,5,5
85,3,3,5,5
86,2,4,5,5
87,2,4,3,3
88,2,3,4,4
89,1,1,4,4
90,3,3,5,5
91,3,3,5,5
92,2,3,5,5
93,1,2,5,5
94,1,1,5,5
95,3,3,5,5
96,3,3,5,5
97,4,4,5,5
98,1,3,5,5
99,2,2,5,5
100,3,3,3,3
101,2,2,4,4
102,3,5,4,4
103,3,3,4,3
104,3,3,3,3
105,2,2,4,4
106,1,4,3,3
107,2,2,4,4
108,1,3,4,1
109,2,2,3,3
