index,input_cultural,output_cultural,input_text,output_text
0,1,4,4,4
1,3,3,5,5
2,2,3,4,4
3,4,2,5,5
4,3,3,4,4
5,4,4,4,5
6,4,4,4,4
7,3,3,4,4
8,4,4,2,4
9,2,2,4,4
10,2,2,3,3
11,3,4,4,4
12,2,2,4,4
13,1,5,4,4
14,2,2,4,4
15,2,5,4,4
16,5,2,4,4
17,1,1,4,4
18,3,4,4,4
19,5,2,4,4
20,2,3,4,4
21,3,3,4,4
22,2,2,4,4
23,2,4,4,4
24,4,2,3,3
25,2,3,4,4
26,2,1,4,4
27,4,5,4,4
28,2,2,4,4
29,2,2,4,4
30,3,3,4,4
31,4,2,4,4
32,1,1,1,1
33,3,5,4,4
34,3,3,4,4
35,2,5,5,5
36,4,4,3,3
37,3,3,4,4
38,2,2,4,4
39,3,3,4,5
40,2,2,4,4
41,5,5,5,5
42,2,2,4,4
43,2,5,4,4
44,2,2,4,4
45,4,4,5,5
46,3,2,4,4
47,1,4,2,4
48,1,4,4,4
49,1,2,4,4
50,2,2,4,4
51,3,3,4,4
52,3,4,4,4
53,2,3,4,4
54,3,4,4,4
55,2,2,4,4
56,3,3,4,4
57,3,3,4,4
58,2,4,4,4
59,1,1,5,4
60,2,2,4,4
61,4,2,5,5
62,3,3,4,4
63,4,4,4,4
64,3,3,3,3
65,2,2,4,4
66,5,5,1,1
67,1,4,4,4
68,2,5,4,4
69,5,4,3,3
70,4,4,4,4
71,3,2,4,4
72,2,2,4,4
73,1,2,4,4
74,5,5,3,3
75,3,3,4,4
76,3,4,4,2
77,3,4,3,3
78,1,5,4,4
79,4,4,4,4
80,3,3,5,5
81,3,4,4,4
82,2,2,2,2
83,3,3,4,4
84,2,3,4,4
85,5,4,5,5
86,2,3,4,4
87,3,4,4,2
88,3,2,4,4
89,1,4,4,4
90,3,2,5,2
91,2,3,4,4
92,2,2,4,4
93,1,4,4,4
94,1,5,4,4
95,1,1,4,4
96,2,2,3,3
97,4,4,3,3
98,3,3,4,4
99,2,2,4,4
100,3,2,1,1
101,4,4,1,1
102,2,4,2,2
103,3,2,1,1
104,2,2,1,1
105,2,4,1,1
106,1,5,1,1
107,3,3,1,1
108,4,4,3,3
109,2,2,2,2
