index,input_cultural,output_cultural,input_text,output_text
0,1,5,5,5
1,1,5,4,5
2,1,1,4,4
3,5,5,5,5
4,5,5,5,5
5,1,5,5,5
6,4,5,5,5
7,5,5,5,5
8,1,3,1,1
9,1,1,5,5
10,1,1,5,5
11,5,5,5,5
12,5,5,5,5
13,1,5,2,5
14,5,5,5,5
15,5,5,4,5
16,1,5,5,5
17,5,5,5,5
18,1,5,3,3
19,5,5,1,1
20,1,5,1,1
21,3,5,1,1
22,1,1,3,3
23,1,3,4,4
24,1,1,4,4
25,1,1,1,1
26,1,1,3,2
27,5,5,2,2
28,5,5,1,1
29,1,1,2,1
30,5,5,5,5
31,3,2,4,4
32,1,1,1,1
33,5,5,5,5
34,1,1,3,3
35,1,2,3,3
36,1,5,2,3
37,4,5,5,5
38,4,5,5,5
39,3,4,5,5
40,1,5,5,3
41,3,3,3,3
42,1,5,4,3
43,1,1,2,2
44,1,1,3,4
45,1,1,5,5
46,2,2,3,3
47,1,5,2,4
48,1,4,5,5
49,1,1,1,1
50,1,5,5,5
51,1,1,3,3
52,1,5,2,2
53,3,5,4,5
54,5,5,5,5
55,1,1,5,5
56,1,2,3,3
57,5,3,1,1
58,1,3,1,1
59,5,5,5,5
60,5,1,1,1
61,2,3,5,5
62,5,5,5,5
63,5,5,5,5
64,1,1,1,1
65,4,5,5,5
66,5,5,4,4
67,1,5,4,4
68,3,3,5,5
69,3,1,1,1
70,3,3,3,3
71,3,5,2,2
72,2,2,5,5
73,1,1,2,2
74,1,5,5,2
75,5,5,4,4
76,5,5,5,5
77,1,3,1,1
78,1,2,1,1
79,1,5,5,5
80,1,1,5,5
81,4,5,5,5
82,5,5,1,1
83,3,5,5,5
84,1,1,3,3
85,5,5,5,5
86,1,1,1,1
87,4,2,3,3
88,1,5,5,5
89,1,4,5,5
90,5,5,5,5
91,5,5,5,5
92,1,5,4,4
93,1,5,3,3
94,1,2,5,5
95,1,5,4,3
96,5,5,1,1
97,5,5,4,4
98,1,1,2,1
99,1,5,5,5
100,5,3,5,1
101,3,1,3,1
102,1,4,1,5
103,5,5,5,1
104,3,3,4,4
105,5,5,5,1
106,1,5,1,1
107,1,1,3,3
108,2,1,5,1
109,1,1,5,5
