index,input_cultural,output_cultural,input_text,output_text
0,1,1,3,3
1,2,1,4,4
2,1,1,4,4
3,1,1,4,4
4,2,2,4,4
5,1,1,5,5
6,2,2,4,4
7,2,2,5,5
8,1,1,4,4
9,1,2,4,4
10,1,1,4,4
11,2,2,5,5
12,1,1,5,5
13,1,2,4,4
14,1,2,5,5
15,1,1,4,4
16,2,2,5,5
17,2,2,4,4
18,1,1,4,4
19,1,3,4,4
20,1,2,3,3
21,2,3,4,4
22,2,4,4,5
23,1,1,5,5
24,1,2,3,3
25,1,1,3,3
26,2,1,4,4
27,1,1,3,3
28,1,1,4,4
29,1,1,5,5
30,2,2,5,4
31,1,1,4,4
32,1,4,4,4
33,1,1,4,4
34,1,4,4,4
35,1,1,4,4
36,1,2,4,4
37,1,1,5,5
38,3,2,5,5
39,2,2,4,4
40,1,2,5,5
41,2,4,5,1
42,1,1,4,4
43,1,2,4,4
44,1,2,4,4
45,2,2,3,3
46,2,4,5,4
47,1,1,4,4
48,1,1,4,4
49,1,1,5,5
50,1,2,5,5
51,1,1,4,4
52,2,3,4,3
53,1,1,4,4
54,1,2,4,4
55,1,1,4,4
56,2,3,4,4
57,1,1,4,4
58,1,2,4,4
59,1,1,4,4
60,1,1,4,4
61,2,2,4,4
62,2,3,4,4
63,1,1,4,4
64,1,1,3,3
65,4,1,4,4
66,1,1,4,4
67,1,1,4,4
68,1,1,5,5
69,1,3,4,4
70,1,1,4,4
71,1,1,4,4
72,1,1,4,4
73,1,1,4,4
74,1,1,4,4
75,2,2,5,5
76,2,2,5,5
77,1,2,3,4
78,1,2,4,4
79,1,1,4,4
80,2,2,5,5
81,1,1,4,4
82,1,2,4,4
83,1,1,4,4
84,1,1,5,5
85,2,2,4,4
86,1,2,4,4
87,1,1,3,3
88,1,1,5,5
89,1,1,4,4
90,2,2,5,5
91,1,1,4,4
92,1,1,4,4
93,1,1,5,5
94,1,1,3,3
95,2,2,4,4
96,1,1,4,4
97,2,2,5,5
98,2,2,4,4
99,1,1,5,5
100,2,2,2,3
101,1,1,3,3
102,2,4,4,4
103,2,2,4,4
104,2,2,3,3
105,1,1,3,3
106,1,2,2,2
107,1,1,3,3
108,1,2,4,4
109,1,1,3,3
