index,input_cultural,output_cultural,input_text,output_text
0,1,1,4,2
1,2,2,3,3
2,1,1,4,2
3,2,2,5,5
4,2,3,5,5
5,3,2,5,5
6,2,2,5,5
7,2,1,4,4
8,1,1,1,1
9,1,1,5,4
10,1,1,2,2
11,2,2,5,5
12,2,2,5,3
13,1,2,4,3
14,2,2,5,5
15,1,3,4,3
16,1,2,4,4
17,1,1,5,4
18,1,1,3,3
19,2,4,5,5
20,1,2,2,2
21,1,1,4,2
22,2,3,5,4
23,1,1,3,4
24,1,3,3,2
25,1,1,3,3
26,2,1,3,2
27,1,1,1,1
28,1,2,1,1
29,1,1,3,3
30,2,2,5,4
31,1,2,3,3
32,1,4,2,3
33,1,2,4,4
34,1,3,5,5
35,1,1,3,4
36,2,1,4,3
37,2,2,5,5
38,1,1,5,5
39,2,1,2,2
40,1,1,5,5
41,2,4,5,1
42,1,1,2,3
43,1,2,4,3
44,1,2,5,5
45,1,1,1,1
46,2,3,5,5
47,1,1,4,4
48,1,2,3,3
49,1,1,4,4
50,1,3,5,5
51,2,1,3,3
52,1,1,4,4
53,2,2,4,3
54,2,3,5,4
55,1,2,4,4
56,2,3,4,4
57,1,2,4,3
58,1,3,4,4
59,1,1,5,3
60,1,1,3,3
61,1,1,5,5
62,2,3,4,4
63,1,1,4,4
64,2,2,4,1
65,3,4,4,1
66,1,1,1,1
67,1,1,5,4
68,1,1,5,5
69,2,1,4,3
70,2,2,4,5
71,1,3,4,5
72,2,2,5,5
73,1,1,3,3
74,1,1,3,3
75,3,3,4,4
76,1,1,5,5
77,2,4,2,2
78,1,3,4,4
79,2,1,4,3
80,2,2,5,4
81,2,2,4,4
82,1,3,4,4
83,1,2,4,4
84,1,1,4,4
85,2,2,4,5
86,1,4,4,4
87,1,3,2,2
88,1,1,4,4
89,1,1,2,2
90,1,1,5,5
91,1,1,4,4
92,1,1,4,3
93,1,1,4,4
94,1,1,3,4
95,2,2,4,4
96,2,2,5,5
97,2,2,4,4
98,1,2,2,2
99,1,1,5,4
100,2,3,3,3
101,1,1,4,1
102,2,4,2,1
103,3,2,1,1
104,1,1,4,4
105,2,2,1,1
106,1,1,2,1
107,1,1,4,4
108,1,3,5,2
109,1,1,4,2
