index,input_cultural,output_cultural,input_text,output_text
0,1,5,5,5
1,1,5,5,5
2,2,2,4,5
3,5,5,5,5
4,4,3,5,5
5,2,5,5,5
6,3,5,5,5
7,3,5,5,5
8,1,1,1,2
9,2,2,5,5
10,2,3,3,3
11,5,5,5,5
12,5,5,5,5
13,1,5,5,5
14,5,5,5,5
15,5,5,4,4
16,1,5,5,5
17,3,3,5,5
18,1,4,3,5
19,5,5,1,2
20,1,5,1,1
21,2,5,1,1
22,1,1,4,5
23,4,5,3,5
24,4,4,5,5
25,3,2,4,4
26,3,3,5,5
27,4,5,3,3
28,5,5,3,3
29,5,5,5,5
30,5,5,5,5
31,5,5,5,5
32,1,1,3,3
33,4,4,5,5
34,2,2,5,5
35,1,3,5,5
36,5,5,4,4
37,2,5,5,5
38,3,5,5,5
39,4,4,5,5
40,2,4,5,5
41,5,5,5,5
42,1,5,5,5
43,1,5,5,5
44,2,2,5,5
45,2,4,5,5
46,3,4,5,5
47,1,2,5,5
48,1,5,5,5
49,5,5,1,1
50,2,5,5,5
51,1,1,5,5
52,2,4,5,5
53,5,5,5,5
54,5,5,5,5
55,4,4,5,5
56,1,2,5,5
57,5,2,5,5
58,1,4,3,3
59,5,5,5,5
60,5,2,5,4
61,5,2,5,5
62,5,1,5,5
63,3,2,5,5
64,4,4,2,2
65,2,5,5,5
66,5,5,5,5
67,3,5,5,4
68,2,2,5,5
69,5,5,4,4
70,5,5,5,5
71,4,4,5,5
72,5,5,5,5
73,1,1,4,4
74,5,5,4,4
75,5,5,5,5
76,5,5,5,5
77,2,2,3,3
78,2,3,5,5
79,3,5,5,5
80,3,2,4,4
81,4,2,5,5
82,5,2,2,2
83,2,2,5,5
84,1,1,5,5
85,4,4,5,5
86,4,3,4,4
87,5,5,4,4
88,2,4,5,5
89,1,4,5,5
90,3,5,5,5
91,5,5,5,5
92,1,5,5,5
93,1,5,5,5
94,2,3,4,4
95,1,3,5,4
96,5,5,2,1
97,5,5,5,5
98,1,3,4,4
99,3,5,5,5
100,5,5,5,1
101,5,1,5,5
102,3,2,5,5
103,5,5,5,3
104,5,5,5,1
105,5,5,5,3
106,1,5,1,1
107,4,2,5,5
108,5,3,5,1
109,5,2,4,4
