index,input_cultural,output_cultural,input_text,output_text
0,1,4,5,5
1,1,2,5,5
2,1,4,4,4
3,4,3,5,5
4,1,1,5,3
5,5,3,5,5
6,2,4,5,1
7,5,3,5,5
8,1,4,5,5
9,1,5,5,5
10,3,4,5,5
11,3,3,5,5
12,1,5,5,5
13,1,5,5,5
14,1,2,5,5
15,2,3,5,5
16,1,4,5,5
17,2,4,5,5
18,2,3,5,5
19,1,1,4,4
20,1,4,5,5
21,1,4,5,5
22,5,1,5,5
23,1,3,5,5
24,2,2,5,5
25,2,2,4,3
26,2,2,5,5
27,1,2,5,5
28,1,1,5,5
29,3,1,5,5
30,1,1,5,5
31,4,4,5,5
32,1,4,3,3
33,2,5,5,5
34,1,5,5,5
35,1,1,5,5
36,3,4,5,5
37,4,4,5,5
38,4,4,5,5
39,1,2,5,5
40,1,1,5,5
41,1,1,5,3
42,2,3,5,5
43,1,2,5,5
44,3,3,5,5
45,1,3,5,5
46,1,5,5,5
47,1,5,5,3
48,1,2,4,5
49,1,5,5,5
50,1,2,5,5
51,1,5,5,5
52,1,4,5,5
53,4,4,5,5
54,1,1,4,3
55,1,4,5,5
56,1,1,5,5
57,4,4,3,3
58,1,5,5,5
59,4,2,5,5
60,1,2,5,5
61,3,5,5,5
62,1,4,5,5
63,2,5,5,3
64,4,2,4,5
65,2,2,4,5
66,1,1,5,5
67,2,4,5,4
68,2,4,5,5
69,1,4,4,5
70,2,4,5,5
71,2,3,5,4
72,4,4,5,5
73,1,2,5,5
74,3,3,5,5
75,1,2,5,5
76,3,4,5,5
77,2,2,5,5
78,1,4,5,5
79,1,2,5,5
80,2,2,5,5
81,1,2,5,5
82,3,4,4,5
83,1,4,5,3
84,2,3,5,5
85,1,1,5,5
86,2,4,5,5
87,3,2,5,5
88,3,3,5,5
89,1,4,5,5
90,3,3,5,5
91,1,5,5,5
92,1,3,5,5
93,1,4,5,3
94,3,4,5,5
95,1,4,4,4
96,3,4,5,5
97,2,1,5,2
98,1,5,4,4
99,4,4,5,5
100,1,1,1,1
101,1,3,3,2
102,1,1,2,2
103,1,1,2,2
104,1,2,1,1
105,1,2,3,1
106,1,5,2,1
107,2,3,5,5
108,4,4,5,5
109,3,3,5,5
