index,input_cultural,output_cultural,input_text,output_text
0,1,5,5,5
1,3,3,4,4
2,1,3,4,5
3,4,4,5,5
4,3,5,5,5
5,2,1,5,5
6,3,5,5,5
7,5,4,5,5
8,2,5,1,1
9,2,2,5,5
10,3,2,4,4
11,2,2,5,5
12,5,5,5,5
13,1,2,5,5
14,5,5,5,5
15,2,5,4,3
16,1,3,5,5
17,5,5,5,5
18,3,2,1,1
19,3,3,1,1
20,3,3,5,5
21,3,5,5,5
22,4,4,5,5
23,3,4,5,5
24,1,1,5,4
25,4,4,4,4
26,4,4,5,5
27,4,4,4,4
28,3,3,1,1
29,4,4,5,5
30,5,1,5,3
31,1,4,5,5
32,1,2,1,1
33,3,5,5,5
34,2,4,5,5
35,1,3,5,5
36,3,2,5,5
37,4,5,5,5
38,3,5,5,5
39,3,2,4,4
40,1,3,5,5
41,5,3,5,1
42,1,5,4,4
43,1,3,4,4
44,4,5,5,5
45,1,1,4,4
46,3,5,5,5
47,2,3,5,5
48,1,5,3,1
49,5,5,5,5
50,3,5,5,5
51,1,3,4,4
52,1,1,4,3
53,5,5,5,5
54,5,5,5,5
55,4,5,5,5
56,2,2,5,5
57,3,3,5,1
58,3,3,4,4
59,5,5,5,5
60,2,3,3,3
61,5,3,5,5
62,2,2,4,4
63,3,3,5,5
64,5,5,1,1
65,4,2,4,4
66,5,5,5,5
67,1,3,4,4
68,3,4,5,5
69,5,5,4,5
70,3,5,5,1
71,1,5,5,5
72,3,5,5,1
73,1,5,5,5
74,5,4,5,5
75,5,5,5,2
76,5,5,5,5
77,2,4,1,1
78,1,3,4,4
79,1,2,5,5
80,2,5,3,1
81,3,2,5,5
82,4,4,1,1
83,2,1,5,5
84,1,5,5,5
85,3,5,5,5
86,1,5,4,4
87,3,5,5,1
88,1,4,3,4
89,1,1,3,1
90,2,4,5,1
91,2,4,5,5
92,3,3,5,5
93,1,3,5,5
94,3,2,5,5
95,1,3,3,1
96,2,4,4,3
97,4,4,5,5
98,1,5,3,4
99,4,4,5,4
100,4,4,5,2
101,2,4,5,1
102,5,5,5,5
103,2,1,5,1
104,4,4,4,1
105,2,2,5,3
106,1,3,1,1
107,1,1,4,4
108,3,1,3,3
109,1,3,5,1
