index,input_cultural,output_cultural,input_text,output_text
0,1,1,3,2
1,1,3,3,4
2,1,1,5,5
3,2,2,5,5
4,3,3,5,5
5,2,2,5,5
6,3,3,5,5
7,1,1,4,5
8,1,1,4,3
9,1,2,5,4
10,1,1,3,2
11,1,1,5,5
12,1,3,5,5
13,1,2,5,4
14,1,3,5,5
15,1,3,5,5
16,1,1,4,4
17,3,3,5,5
18,1,1,3,3
19,1,3,3,3
20,2,3,3,4
21,1,1,4,4
22,2,4,5,5
23,1,1,3,3
24,1,3,2,1
25,2,3,4,3
26,4,2,4,4
27,2,2,4,3
28,1,1,3,2
29,1,2,5,5
30,2,2,4,4
31,2,1,4,4
32,1,4,3,3
33,2,2,4,4
34,1,5,4,4
35,1,1,5,5
36,2,2,3,3
37,1,3,5,5
38,3,3,5,5
39,2,2,3,3
40,1,2,4,4
41,3,5,5,1
42,1,3,3,3
43,1,3,4,3
44,1,2,5,5
45,1,2,2,2
46,1,3,5,3
47,1,2,3,3
48,2,1,3,5
49,1,1,5,5
50,2,3,5,5
51,1,1,4,4
52,1,1,4,4
53,3,2,5,4
54,1,4,5,3
55,1,2,3,4
56,2,2,4,4
57,1,2,5,3
58,1,3,4,4
59,3,3,5,5
60,1,2,2,2
61,3,3,5,5
62,1,3,4,4
63,2,3,5,5
64,1,2,3,1
65,1,2,4,1
66,1,1,4,4
67,1,1,3,3
68,1,1,4,4
69,1,1,4,3
70,1,2,5,5
71,2,3,5,5
72,1,2,5,5
73,1,1,4,4
74,3,3,3,3
75,3,3,5,5
76,2,2,5,5
77,1,3,3,3
78,1,3,3,4
79,3,3,5,5
80,3,3,4,4
81,1,1,5,5
82,1,3,5,5
83,1,3,4,4
84,1,1,4,4
85,2,3,5,5
86,1,3,3,3
87,1,2,4,3
88,1,2,4,4
89,1,1,4,4
90,3,3,5,5
91,1,1,4,4
92,1,2,4,4
93,1,1,5,4
94,1,1,4,4
95,1,1,4,4
96,1,1,5,5
97,2,2,4,4
98,1,1,4,4
99,1,2,4,4
100,2,2,4,4
101,1,1,5,3
102,3,4,5,3
103,1,1,4,2
104,2,2,4,4
105,1,1,3,3
106,1,2,2,1
107,1,2,4,4
108,1,2,4,1
109,3,1,5,1
