index,input_cultural,output_cultural,input_text,output_text
0,1,1,4,4
1,3,5,5,5
2,2,2,5,5
3,5,5,5,5
4,3,3,5,5
5,4,3,4,4
6,4,4,5,5
7,1,5,5,5
8,2,4,4,4
9,1,5,5,5
10,1,5,2,2
11,4,4,5,5
12,2,5,5,4
13,1,4,3,3
14,3,5,5,5
15,2,5,5,5
16,1,4,5,5
17,4,3,5,5
18,2,4,5,3
19,5,1,5,2
20,4,4,4,4
21,4,4,5,5
22,1,1,5,5
23,4,4,5,5
24,4,4,4,4
25,2,3,3,3
26,2,2,3,3
27,2,2,4,4
28,3,3,4,4
29,1,1,3,3
30,4,4,5,4
31,1,1,4,4
32,1,1,3,3
33,4,4,5,5
34,2,5,5,5
35,1,2,5,5
36,4,4,4,3
37,2,2,5,5
38,5,4,5,5
39,2,2,3,3
40,1,1,5,5
41,4,4,4,5
42,1,1,1,1
43,1,4,3,3
44,1,4,5,5
45,1,2,5,4
46,3,3,5,5
47,1,4,3,3
48,1,4,5,5
49,1,1,3,3
50,2,2,5,5
51,1,5,3,3
52,1,5,3,3
53,4,4,5,5
54,4,4,5,5
55,1,1,3,3
56,3,5,5,5
57,1,1,2,2
58,4,4,3,3
59,3,3,5,5
60,4,4,4,4
61,4,4,5,5
62,5,5,5,5
63,4,4,5,5
64,4,4,5,5
65,3,4,5,5
66,4,4,5,5
67,2,2,3,3
68,3,3,5,5
69,4,3,5,3
70,4,4,4,4
71,4,4,5,5
72,4,4,5,5
73,1,4,3,3
74,1,1,3,3
75,3,3,4,4
76,4,4,5,5
77,1,1,2,2
78,1,1,2,2
79,2,5,4,4
80,2,2,4,4
81,5,4,5,5
82,3,3,1,1
83,4,4,5,5
84,2,2,5,5
85,4,4,5,5
86,1,1,3,3
87,3,3,3,3
88,1,1,3,3
89,1,1,3,3
90,4,2,5,5
91,4,2,5,5
92,1,4,3,3
93,1,1,5,5
94,1,1,3,3
95,1,1,5,5
96,1,2,2,2
97,4,4,5,5
98,4,4,4,4
99,3,5,4,3
100,2,2,4,4
101,2,2,4,1
102,4,4,3,2
103,2,2,1,1
104,4,4,2,2
105,2,2,4,3
106,1,1,1,1
107,1,1,3,3
108,4,3,4,2
109,1,1,2,2
