index,input_cultural,output_cultural,input_text,output_text
0,1,3,4,4
1,5,5,5,5
2,1,1,4,4
3,3,3,5,5
4,1,1,4,4
5,1,1,4,4
6,3,3,3,3
7,3,3,3,3
8,2,2,1,1
9,1,1,3,3
10,1,1,2,2
11,1,1,4,4
12,3,1,5,1
13,1,1,4,4
14,1,1,3,3
15,1,4,4,4
16,4,4,4,4
17,5,5,5,5
18,1,1,3,3
19,1,1,1,1
20,2,2,4,4
21,3,5,3,5
22,2,3,4,4
23,2,2,3,3
24,1,1,4,4
25,3,3,3,3
26,2,2,4,4
27,1,4,1,1
28,1,1,2,2
29,1,1,3,3
30,1,1,3,3
31,1,1,4,4
32,1,3,1,1
33,1,3,3,3
34,1,1,3,3
35,1,1,3,3
36,1,1,4,3
37,1,1,3,5
38,3,5,3,5
39,1,1,5,5
40,1,1,4,4
41,3,1,5,3
42,1,3,3,3
43,1,1,4,3
44,1,4,4,4
45,1,1,3,3
46,3,5,5,5
47,1,1,4,4
48,1,4,1,1
49,5,5,5,5
50,1,3,4,4
51,1,1,3,3
52,1,1,2,2
53,3,4,5,5
54,3,1,3,1
55,1,3,4,4
56,5,4,5,4
57,1,1,2,1
58,1,1,3,3
59,3,3,3,3
60,1,1,1,1
61,1,1,4,4
62,1,1,3,3
63,1,1,1,1
64,1,1,3,3
65,1,1,1,1
66,1,1,1,1
67,1,1,3,3
68,1,1,3,3
69,3,3,3,3
70,1,1,3,3
71,1,4,4,4
72,1,1,4,2
73,1,4,5,5
74,1,1,4,4
75,1,1,2,3
76,3,5,4,5
77,5,5,5,5
78,1,1,4,3
79,1,5,3,5
80,1,2,3,2
81,2,5,5,5
82,1,1,3,3
83,1,1,3,3
84,1,5,5,5
85,3,3,3,3
86,1,1,3,3
87,1,3,1,1
88,1,1,1,1
89,1,1,3,3
90,1,1,1,1
91,1,1,1,1
92,1,1,3,3
93,1,3,3,3
94,1,1,4,4
95,1,1,4,3
96,1,1,3,3
97,1,1,4,2
98,1,1,3,3
99,1,1,4,4
100,1,1,3,3
101,1,1,1,2
102,3,3,3,3
103,1,1,1,1
104,1,1,3,3
105,1,1,1,1
106,1,1,1,1
107,1,1,1,1
108,1,1,2,2
109,1,1,4,3
