index,input_cultural,output_cultural,input_text,output_text
0,1,1,5,5
1,1,1,5,5
2,5,5,5,5
3,5,5,5,5
4,1,1,5,5
5,1,1,5,5
6,1,1,5,5
7,5,5,5,5
8,1,5,5,5
9,1,1,1,1
10,1,1,5,5
11,5,5,5,5
12,5,5,5,5
13,1,1,5,5
14,1,5,5,5
15,1,1,5,5
16,1,5,5,5
17,5,5,5,5
18,1,1,1,1
19,5,1,5,1
20,5,5,5,5
21,1,1,5,5
22,1,1,5,5
23,5,5,5,5
24,5,5,5,5
25,1,1,1,5
26,5,5,5,5
27,5,5,5,5
28,5,5,5,5
29,5,5,5,5
30,5,5,5,5
31,5,5,5,5
32,1,1,1,1
33,5,5,5,5
34,1,1,1,1
35,5,5,5,5
36,5,5,5,5
37,1,1,5,5
38,1,1,5,5
39,1,1,5,5
40,5,5,5,5
41,5,5,5,5
42,1,1,5,5
43,5,5,5,5
44,5,5,5,5
45,1,1,5,5
46,1,1,1,1
47,5,5,5,5
48,5,5,5,5
49,5,5,5,5
50,1,1,1,1
51,1,5,5,5
52,1,5,5,5
53,5,5,5,5
54,1,1,1,1
55,1,1,5,5
56,5,5,5,5
57,5,5,5,5
58,1,1,5,5
59,5,5,5,5
60,1,1,5,5
61,1,1,5,5
62,5,5,1,1
63,1,1,5,5
64,5,5,5,5
65,1,1,5,5
66,1,1,1,1
67,1,1,1,1
68,5,5,5,5
69,5,5,5,5
70,5,5,5,5
71,5,5,5,5
72,1,1,5,5
73,1,1,5,5
74,5,5,5,5
75,5,5,5,5
76,1,1,5,5
77,5,5,5,5
78,1,1,5,5
79,5,5,5,5
80,5,5,5,5
81,5,5,5,5
82,5,5,5,5
83,1,1,5,5
84,1,1,1,1
85,5,5,5,5
86,1,1,1,1
87,1,1,5,5
88,1,1,5,5
89,1,1,1,1
90,5,5,5,5
91,5,5,5,5
92,5,5,5,5
93,1,1,5,5
94,1,1,5,5
95,1,1,5,5
96,5,5,1,1
97,5,5,5,5
98,5,5,5,5
99,1,5,5,5
100,1,1,1,1
101,1,1,1,1
102,5,5,5,5
103,1,1,1,1
104,1,1,1,1
105,1,1,1,1
106,1,1,1,1
107,1,1,1,1
108,1,1,1,1
109,1,1,1,1
