index,input_cultural,output_cultural,input_text,output_text
0,2,5,5,5
1,5,5,5,5
2,3,5,5,5
3,5,5,5,5
4,3,1,5,5
5,5,5,5,5
6,5,4,2,2
7,5,5,5,5
8,1,4,4,4
9,2,5,5,5
10,3,5,5,5
11,4,5,5,5
12,2,5,5,5
13,1,5,4,4
14,3,3,5,5
15,5,5,5,5
16,2,5,5,5
17,4,4,5,5
18,3,4,2,2
19,4,4,4,4
20,5,5,5,5
21,5,5,5,5
22,4,4,5,5
23,4,4,4,4
24,5,5,5,5
25,1,5,2,2
26,1,1,4,4
27,5,5,5,5
28,2,2,2,2
29,3,3,5,5
30,5,5,5,5
31,5,2,5,4
32,2,5,2,2
33,4,4,5,5
34,2,2,5,4
35,5,2,5,5
36,5,5,5,5
37,5,2,5,4
38,3,3,4,4
39,5,5,4,5
40,2,5,4,4
41,5,3,5,5
42,3,5,5,5
43,2,5,5,5
44,5,5,5,5
45,2,5,5,5
46,2,4,4,4
47,2,3,5,2
48,4,5,5,5
49,2,5,2,5
50,1,5,4,5
51,2,5,5,5
52,1,5,5,5
53,5,4,5,5
54,1,4,4,5
55,5,4,5,5
56,4,4,5,5
57,5,5,5,5
58,5,5,5,5
59,5,5,5,5
60,1,1,5,5
61,5,5,5,5
62,3,5,5,5
63,5,5,5,5
64,5,5,5,5
65,2,4,2,5
66,5,5,5,5
67,1,2,4,2
68,5,5,5,5
69,2,3,2,4
70,5,5,5,5
71,5,5,5,5
72,5,5,5,5
73,1,3,2,4
74,5,5,5,5
75,5,5,5,5
76,4,5,5,5
77,5,5,2,2
78,1,5,4,4
79,1,1,5,5
80,5,5,5,5
81,5,5,5,5
82,5,5,5,5
83,4,4,5,5
84,2,5,5,5
85,5,5,5,5
86,3,3,2,2
87,5,5,5,5
88,5,5,5,5
89,1,3,4,4
90,4,4,5,5
91,5,5,5,5
92,3,5,5,5
93,1,5,5,5
94,4,5,5,5
95,2,5,5,5
96,2,5,4,5
97,5,5,5,4
98,2,5,2,2
99,5,5,5,5
100,1,1,2,2
101,3,4,4,4
102,5,5,5,5
103,1,1,4,4
104,3,5,2,2
105,1,5,4,5
106,1,5,2,2
107,5,5,5,5
108,5,5,5,5
109,4,4,4,4
