index,input_cultural,output_cultural,input_text,output_text
0,1,4,5,4
1,4,4,5,5
2,2,2,5,5
3,4,4,5,5
4,3,3,5,5
5,2,2,4,3
6,3,3,4,4
7,2,3,5,5
8,3,4,1,1
9,2,2,5,5
10,3,3,3,3
11,1,1,5,5
12,3,2,5,5
13,1,2,5,5
14,3,3,4,3
15,2,4,4,4
16,2,4,5,5
17,3,3,5,5
18,1,2,4,4
19,2,2,2,2
20,3,3,5,5
21,4,5,5,5
22,2,3,5,5
23,3,4,5,5
24,1,1,5,5
25,4,4,3,3
26,3,3,4,4
27,3,2,4,2
28,2,1,3,3
29,1,1,4,4
30,3,3,4,4
31,1,1,4,4
32,2,4,1,1
33,4,4,5,5
34,1,3,5,5
35,1,1,5,5
36,2,2,3,3
37,3,4,5,5
38,3,5,5,5
39,2,2,4,4
40,2,3,4,4
41,4,4,5,2
42,2,2,5,5
43,2,4,5,5
44,3,4,5,5
45,2,2,4,4
46,3,2,5,5
47,3,3,5,5
48,1,4,3,1
49,4,4,3,3
50,1,5,5,5
51,1,3,4,3
52,2,3,3,4
53,3,3,4,4
54,2,3,5,5
55,3,3,3,4
56,3,3,5,5
57,1,1,1,1
58,2,3,3,3
59,4,4,5,5
60,1,2,2,2
61,4,2,5,5
62,3,2,5,5
63,1,5,5,5
64,3,3,3,3
65,2,4,5,5
66,3,3,5,5
67,1,2,3,3
68,3,3,5,5
69,2,2,2,2
70,2,3,5,2
71,2,4,5,5
72,4,4,5,2
73,1,4,5,5
74,3,2,5,4
75,4,1,5,2
76,4,5,5,5
77,4,4,2,2
78,1,4,3,3
79,1,5,5,5
80,3,4,3,1
81,3,4,5,5
82,3,2,4,4
83,2,3,5,5
84,2,4,5,5
85,3,3,5,5
86,2,3,3,3
87,3,5,5,1
88,3,3,5,5
89,1,4,2,2
90,2,3,5,1
91,3,3,5,5
92,2,4,5,5
93,1,1,5,5
94,2,2,5,5
95,1,2,4,1
96,3,3,2,2
97,4,3,5,4
98,1,5,3,3
99,4,4,5,5
100,2,2,4,4
101,2,3,4,2
102,4,4,4,4
103,1,3,5,3
104,2,2,3,3
105,1,1,4,2
106,5,5,1,1
107,3,3,4,4
108,4,3,3,2
109,2,2,1,1
