index,input_cultural,output_cultural,input_text,output_text
0,1,1,4,4
1,2,2,4,4
2,1,1,4,4
3,3,3,4,4
4,3,3,5,5
5,3,3,4,4
6,3,3,5,5
7,1,1,5,5
8,1,1,3,1
9,1,3,4,4
10,1,2,3,3
11,2,2,5,5
12,1,2,5,5
13,1,2,4,3
14,1,2,5,5
15,1,2,5,5
16,2,2,4,4
17,3,3,5,5
18,1,1,3,3
19,3,4,4,4
20,1,3,4,4
21,1,4,4,4
22,1,5,4,4
23,1,1,5,5
24,1,2,2,2
25,1,1,4,1
26,3,1,4,4
27,2,1,2,2
28,1,1,2,2
29,1,1,4,4
30,2,2,5,5
31,1,2,4,4
32,1,5,3,3
33,1,3,4,4
34,2,5,4,3
35,1,3,5,5
36,2,2,5,5
37,1,1,5,5
38,3,3,5,5
39,1,1,3,3
40,1,2,5,5
41,2,5,5,1
42,1,1,4,1
43,1,4,4,4
44,1,3,4,4
45,2,2,2,2
46,3,5,4,4
47,1,1,3,3
48,2,5,4,4
49,2,1,5,5
50,3,3,4,4
51,1,1,4,4
52,1,3,3,3
53,3,3,5,3
54,1,3,4,4
55,1,5,4,4
56,2,4,4,4
57,1,5,5,1
58,1,5,3,3
59,2,3,4,4
60,1,1,3,3
61,3,3,5,5
62,3,3,4,4
63,3,2,5,5
64,3,3,2,1
65,4,2,5,1
66,1,1,1,1
67,1,1,4,4
68,1,1,4,4
69,1,1,4,4
70,1,1,4,4
71,1,2,4,4
72,2,3,4,4
73,1,1,4,4
74,1,2,2,2
75,3,3,4,4
76,3,3,4,4
77,1,5,3,3
78,1,5,4,4
79,1,1,5,5
80,2,2,5,5
81,1,2,4,4
82,1,3,5,5
83,1,3,4,4
84,1,3,4,4
85,3,2,5,5
86,1,5,4,4
87,1,4,3,3
88,1,1,4,4
89,1,1,4,4
90,3,3,5,5
91,1,1,4,4
92,1,2,4,4
93,1,1,3,3
94,1,1,3,3
95,1,1,4,4
96,2,2,5,5
97,3,3,4,4
98,1,3,3,3
99,1,3,5,5
100,2,2,3,3
101,1,1,4,3
102,2,5,5,2
103,1,1,4,3
104,3,4,3,3
105,1,1,3,3
106,1,3,1,1
107,1,1,4,4
108,1,3,3,1
109,1,1,1,1
