index,input_cultural,output_cultural,input_text,output_text
0,1,5,5,5
1,1,1,5,5
2,2,5,5,5
3,5,3,5,5
4,3,3,5,5
5,5,5,5,5
6,5,5,5,5
7,5,1,5,5
8,5,5,5,5
9,1,1,5,5
10,2,2,5,5
11,5,5,5,5
12,3,3,5,5
13,1,5,5,5
14,5,5,5,5
15,3,5,5,5
16,5,2,5,5
17,5,5,5,5
18,1,5,5,5
19,5,5,5,5
20,2,1,5,5
21,1,1,1,1
22,1,4,5,5
23,1,4,5,5
24,5,4,5,5
25,3,1,5,5
26,5,1,5,3
27,4,3,5,5
28,5,5,5,5
29,1,1,5,5
30,5,4,5,5
31,5,1,5,5
32,1,2,1,1
33,5,5,5,5
34,5,3,5,5
35,1,1,5,5
36,5,4,5,5
37,5,5,5,5
38,5,1,5,5
39,5,5,5,5
40,1,1,5,5
41,5,5,5,5
42,3,3,5,1
43,1,5,5,5
44,3,3,5,5
45,5,5,5,5
46,5,3,5,5
47,3,5,5,5
48,1,1,1,1
49,1,1,1,1
50,5,5,5,5
51,4,4,3,4
52,1,3,5,5
53,4,4,5,5
54,3,1,5,5
55,1,1,5,5
56,5,5,5,5
57,2,5,5,5
58,1,3,5,5
59,3,4,5,3
60,1,1,5,5
61,5,5,5,5
62,3,5,5,5
63,5,5,5,5
64,5,5,5,5
65,5,5,5,5
66,5,5,5,5
67,1,1,1,5
68,2,5,5,5
69,5,1,5,3
70,3,5,5,5
71,5,4,5,5
72,1,1,1,4
73,1,3,5,5
74,5,5,5,5
75,1,5,5,5
76,5,5,5,5
77,5,1,5,5
78,1,5,5,5
79,1,4,1,5
80,3,5,5,5
81,5,5,5,5
82,1,1,4,5
83,3,3,5,5
84,5,5,5,5
85,5,5,5,5
86,4,5,5,5
87,4,4,5,5
88,5,3,5,1
89,1,5,5,5
90,5,3,5,5
91,3,3,5,5
92,1,1,5,5
93,1,5,5,5
94,5,5,5,5
95,5,4,5,5
96,1,5,5,5
97,5,5,5,5
98,3,3,5,5
99,3,5,5,5
100,3,1,3,1
101,5,5,5,1
102,1,5,4,5
103,3,4,5,5
104,5,5,5,5
105,1,5,4,1
106,4,3,1,1
107,5,5,5,5
108,5,5,5,5
109,3,1,4,4
