index,input_cultural,output_cultural,input_text,output_text
0,1,1,5,3
1,2,1,5,5
2,1,1,5,3
3,2,4,5,5
4,1,5,5,5
5,3,5,5,5
6,5,1,5,5
7,1,1,5,5
8,1,2,4,1
9,1,4,5,5
10,1,3,4,3
11,2,2,5,5
12,1,2,5,5
13,1,4,5,5
14,1,4,5,5
15,2,4,5,5
16,1,3,5,5
17,1,2,5,5
18,1,2,4,4
19,2,3,5,5
20,1,5,3,2
21,1,3,5,5
22,1,5,5,5
23,1,1,5,5
24,1,5,1,1
25,4,1,5,1
26,4,3,5,5
27,1,3,5,2
28,1,1,1,1
29,1,1,5,5
30,1,2,5,5
31,2,1,5,5
32,1,5,2,3
33,2,4,5,5
34,1,5,5,5
35,1,2,5,5
36,3,1,5,3
37,2,4,5,5
38,4,3,5,5
39,2,2,1,1
40,1,3,5,5
41,5,5,5,1
42,1,1,2,1
43,1,4,5,3
44,1,2,5,5
45,1,1,1,1
46,1,5,5,5
47,1,2,5,5
48,2,3,3,3
49,1,1,5,5
50,1,5,5,5
51,2,1,5,5
52,1,3,5,3
53,5,4,5,4
54,2,4,5,5
55,1,4,5,5
56,2,5,5,5
57,1,2,5,3
58,1,5,4,4
59,3,1,5,5
60,1,2,3,3
61,3,3,5,5
62,2,2,5,5
63,2,4,5,2
64,5,5,3,1
65,5,2,5,2
66,2,1,5,5
67,1,1,4,4
68,1,1,5,5
69,2,1,5,4
70,1,2,5,5
71,2,5,5,5
72,1,2,5,5
73,1,1,5,5
74,3,2,4,4
75,4,5,5,5
76,1,1,5,5
77,1,5,4,2
78,1,4,5,5
79,3,1,5,5
80,4,3,5,5
81,1,2,5,5
82,1,1,5,5
83,2,3,5,5
84,2,1,5,5
85,1,5,5,5
86,1,5,5,5
87,1,5,3,3
88,2,2,3,4
89,1,1,5,5
90,4,4,5,5
91,2,2,5,5
92,1,2,5,5
93,1,1,5,5
94,1,1,1,1
95,1,1,5,5
96,2,1,5,5
97,3,3,5,5
98,1,3,1,1
99,2,2,5,5
100,1,2,1,2
101,1,1,5,3
102,3,5,5,1
103,4,3,4,1
104,3,3,2,2
105,2,2,5,5
106,1,4,1,1
107,1,1,3,3
108,1,4,5,1
109,1,2,4,1
