index,input_cultural,output_cultural,input_text,output_text
0,1,3,4,4
1,2,4,4,4
2,1,1,4,4
3,5,5,4,4
4,4,4,4,4
5,3,4,4,4
6,4,4,4,4
7,3,3,4,4
8,1,1,2,2
9,1,1,4,4
10,1,1,3,3
11,1,3,4,4
12,5,5,4,4
13,1,4,4,4
14,5,5,4,4
15,4,4,3,4
16,1,3,4,4
17,3,3,4,4
18,3,4,4,4
19,4,2,1,1
20,2,4,1,1
21,2,4,1,1
22,1,1,4,4
23,2,3,4,4
24,4,4,4,4
25,3,2,3,3
26,2,3,3,3
27,3,4,2,2
28,4,4,3,3
29,2,4,4,4
30,3,3,4,4
31,4,4,4,4
32,1,1,3,3
33,4,4,4,4
34,1,1,4,4
35,1,2,4,4
36,4,4,3,3
37,2,4,4,4
38,4,4,4,4
39,1,4,4,4
40,2,4,4,4
41,4,4,4,4
42,4,4,4,4
43,1,3,4,4
44,1,4,4,4
45,1,3,4,4
46,4,1,4,4
47,1,5,3,3
48,1,4,3,4
49,3,3,1,1
50,1,4,4,4
51,1,1,3,3
52,1,4,4,4
53,3,3,4,4
54,5,5,4,4
55,1,1,4,4
56,2,2,4,4
57,2,1,2,2
58,1,2,3,3
59,4,4,4,4
60,2,1,4,3
61,4,4,4,4
62,4,2,4,4
63,3,4,4,4
64,2,2,2,2
65,2,4,4,4
66,4,4,3,3
67,1,4,4,4
68,1,1,4,4
69,4,2,3,2
70,2,2,4,4
71,3,4,4,4
72,4,2,4,3
73,1,1,3,3
74,4,4,4,4
75,4,4,4,4
76,2,4,4,4
77,2,2,3,3
78,1,4,4,4
79,1,4,4,4
80,1,1,3,3
81,3,3,4,4
82,4,2,4,3
83,1,1,4,4
84,1,1,4,4
85,2,3,4,4
86,2,2,3,3
87,3,3,3,3
88,2,3,4,4
89,1,2,4,4
90,4,4,4,4
91,4,4,3,2
92,1,4,4,4
93,1,3,4,4
94,1,3,3,3
95,1,5,3,3
96,3,3,2,2
97,4,4,3,3
98,1,2,3,3
99,5,5,4,4
100,4,4,1,1
101,3,2,4,2
102,1,2,1,3
103,4,4,4,3
104,3,2,4,4
105,4,4,3,3
106,1,4,1,1
107,3,4,4,1
108,3,2,4,1
109,4,1,4,1
