index,input_cultural,output_cultural,input_text,output_text
0,5,5,2,1
1,5,3,5,4
2,5,5,5,5
3,3,4,4,2
4,4,5,2,3
5,4,4,3,5
6,3,5,1,3
7,5,5,4,5
8,4,3,3,2
9,5,3,4,2
10,3,4,2,3
11,3,5,2,4
12,5,5,5,5
13,3,1,3,1
14,5,5,5,5
15,4,3,1,2
16,4,4,2,4
17,4,5,3,3
18,5,5,4,3
19,3,2,1,2
20,3,4,3,2
21,1,1,1,5
22,3,3,2,3
23,4,5,1,1
24,4,4,4,3
25,3,4,2,4
26,4,3,4,2
27,3,4,1,2
28,4,3,4,2
29,5,4,3,3
30,5,4,3,2
31,5,5,5,5
32,1,4,3,3
33,3,3,3,5
34,3,4,3,3
35,4,4,3,4
36,4,5,3,4
37,4,5,5,5
38,5,5,3,4
39,2,4,2,1
40,4,3,1,1
41,3,4,4,1
42,4,4,5,3
43,5,3,3,3
44,5,5,1,2
45,1,4,5,5
46,5,5,4,5
47,3,5,5,5
48,4,2,2,2
49,5,5,2,3
50,2,4,2,4
51,4,4,3,3
52,1,5,5,5
53,5,4,3,4
54,4,2,2,1
55,3,3,3,1
56,5,4,3,3
57,3,3,3,3
58,4,4,2,4
59,4,5,2,4
60,4,5,3,5
61,4,5,4,4
62,5,3,5,5
63,5,4,3,3
64,4,4,1,3
65,4,2,3,5
66,3,3,3,2
67,4,4,2,2
68,2,4,1,4
69,3,3,3,3
70,3,4,4,3
71,5,4,3,1
72,3,4,1,2
73,3,4,3,4
74,5,4,2,5
75,2,4,4,4
76,3,5,1,3
77,3,3,5,5
78,3,5,4,3
79,3,4,2,3
80,3,4,2,5
81,4,2,4,3
82,4,3,3,2
83,3,4,3,3
84,4,4,2,3
85,1,5,2,5
86,2,2,4,4
87,4,4,3,5
88,1,5,5,5
89,3,4,4,3
90,3,5,2,2
91,5,4,3,2
92,3,5,2,4
93,4,4,1,3
94,3,4,3,3
95,2,5,5,5
96,2,4,1,4
97,4,3,5,2
98,4,4,3,2
99,5,2,5,1
100,3,3,1,1
101,2,3,1,3
102,5,4,1,1
103,4,4,2,2
104,3,4,2,5
105,5,3,3,3
106,3,3,1,1
107,4,3,3,3
108,3,4,2,4
109,3,4,1,3
