index,input_cultural,output_cultural,input_text,output_text
0,1,3,4,2
1,1,4,5,5
2,1,1,5,5
3,4,4,5,5
4,3,3,5,5
5,3,4,5,5
6,4,4,4,4
7,4,3,5,5
8,1,1,4,4
9,1,1,5,5
10,2,3,4,4
11,3,3,5,5
12,5,3,5,5
13,1,5,5,5
14,4,5,5,5
15,3,4,4,4
16,1,3,5,5
17,4,3,4,4
18,2,4,3,5
19,3,3,3,3
20,1,4,1,1
21,3,4,1,1
22,1,2,5,5
23,2,4,5,5
24,2,4,5,5
25,2,2,3,3
26,1,1,5,5
27,4,2,5,5
28,3,3,3,3
29,1,5,5,5
30,4,4,5,5
31,4,4,5,5
32,1,1,2,2
33,1,1,5,5
34,1,1,5,5
35,2,2,5,5
36,5,5,5,5
37,2,4,5,5
38,3,3,5,5
39,3,3,5,5
40,1,3,5,5
41,4,4,5,5
42,1,4,5,4
43,1,3,5,5
44,1,3,5,5
45,1,2,5,5
46,3,2,5,5
47,1,5,4,4
48,2,4,4,3
49,4,4,1,1
50,1,3,5,5
51,2,2,3,3
52,1,4,5,5
53,4,2,5,5
54,4,4,5,5
55,1,3,5,5
56,3,4,5,5
57,2,3,2,3
58,1,2,4,4
59,4,4,5,4
60,4,1,3,3
61,3,4,5,5
62,3,2,5,5
63,1,5,5,5
64,2,3,2,1
65,2,4,5,5
66,4,2,4,4
67,1,4,5,4
68,3,4,5,5
69,3,3,2,1
70,3,4,5,5
71,3,3,5,5
72,4,4,5,5
73,1,1,4,4
74,3,4,5,5
75,3,3,5,5
76,2,3,5,5
77,3,2,2,3
78,1,2,5,5
79,1,3,5,5
80,2,2,5,5
81,3,2,5,5
82,5,5,5,5
83,1,1,5,5
84,1,1,5,5
85,1,2,5,5
86,3,3,3,3
87,3,3,3,3
88,1,4,4,4
89,1,3,5,5
90,3,4,5,5
91,3,4,5,5
92,1,4,4,4
93,1,3,5,5
94,1,3,4,4
95,2,5,3,3
96,4,4,2,1
97,4,4,5,5
98,1,3,4,4
99,3,5,5,5
100,4,2,2,2
101,4,2,4,2
102,3,2,3,3
103,4,4,5,2
104,4,3,1,1
105,5,5,5,3
106,1,4,1,2
107,1,2,3,2
108,2,2,5,1
109,2,3,3,3
