index,input_cultural,output_cultural,input_text,output_text
0,3,1,5,1
1,4,1,4,1
2,3,3,5,5
3,3,5,1,1
4,5,3,1,1
5,5,4,5,5
6,5,2,5,5
7,3,4,5,5
8,5,3,5,5
9,5,2,5,5
10,5,3,5,4
11,4,5,5,5
12,4,1,5,5
13,3,5,5,5
14,3,3,5,5
15,2,1,5,5
16,2,4,4,4
17,4,5,5,5
18,2,1,2,2
19,5,2,5,5
20,3,5,5,5
21,2,5,5,5
22,3,2,5,5
23,3,5,5,5
24,5,3,5,5
25,1,5,5,5
26,5,5,5,5
27,4,4,4,4
28,1,5,5,5
29,4,4,5,5
30,4,3,5,5
31,3,4,5,5
32,4,4,5,5
33,3,5,5,5
34,5,5,5,5
35,3,5,5,5
36,3,5,5,5
37,4,2,5,5
38,5,3,5,5
39,4,4,5,5
40,1,5,5,5
41,5,5,5,5
42,3,3,5,5
43,2,5,5,5
44,5,2,5,5
45,5,2,5,5
46,4,3,5,5
47,4,3,5,5
48,5,2,5,5
49,5,3,5,5
50,3,5,5,5
51,3,5,5,5
52,1,5,5,5
53,4,5,5,5
54,1,5,5,5
55,1,5,5,5
56,4,4,5,5
57,2,5,5,5
58,4,2,5,5
59,1,5,5,5
60,1,5,4,5
61,5,3,5,5
62,3,4,5,5
63,4,3,4,3
64,4,5,5,5
65,4,3,5,2
66,4,4,3,4
67,4,4,5,5
68,3,5,5,5
69,5,3,5,5
70,4,5,5,5
71,3,5,4,5
72,3,3,5,5
73,1,5,5,5
74,5,4,5,5
75,3,5,5,5
76,5,3,5,5
77,3,5,5,5
78,2,5,5,5
79,5,3,5,5
80,2,5,4,5
81,3,4,5,5
82,1,5,5,5
83,3,4,5,5
84,5,2,5,5
85,5,4,5,5
86,1,5,5,5
87,3,5,5,5
88,2,1,5,5
89,1,5,5,5
90,5,3,5,5
91,5,2,5,5
92,1,5,5,5
93,3,5,5,5
94,1,5,4,5
95,4,3,5,5
96,5,5,5,5
97,5,2,5,5
98,2,2,5,2
99,1,2,5,5
100,4,4,5,5
101,4,3,4,4
102,2,1,5,1
103,5,4,5,5
104,4,5,5,5
105,1,5,5,2
106,4,4,1,1
107,3,5,3,3
108,2,1,5,2
109,1,5,1,5
