index,input_cultural,output_cultural,input_text,output_text
0,4,1,4,4
1,3,5,1,5
2,5,5,5,5
3,5,5,5,5
4,5,5,5,5
5,4,4,4,4
6,5,5,5,5
7,1,5,5,5
8,4,2,4,1
9,5,3,5,5
10,4,1,1,1
11,5,5,5,5
12,1,5,5,5
13,1,5,5,5
14,1,4,5,5
15,1,4,5,5
16,3,3,5,5
17,5,5,5,5
18,4,4,4,4
19,4,5,1,5
20,4,4,1,1
21,4,4,5,5
22,1,1,5,5
23,1,1,5,5
24,1,4,1,1
25,4,1,5,2
26,5,5,5,5
27,4,5,4,4
28,3,5,3,3
29,1,5,5,5
30,5,5,5,5
31,5,2,5,5
32,1,5,3,3
33,3,3,5,5
34,5,5,5,5
35,3,3,5,5
36,1,5,5,5
37,1,5,5,5
38,4,4,4,4
39,2,3,5,5
40,1,1,5,5
41,5,5,5,1
42,3,1,5,5
43,1,5,5,5
44,4,4,4,4
45,5,5,5,5
46,5,5,5,5
47,1,5,5,5
48,5,5,5,5
49,3,3,5,5
50,5,5,5,5
51,3,3,5,5
52,5,5,4,4
53,5,5,5,5
54,1,5,5,5
55,1,2,5,5
56,3,3,5,5
57,1,4,4,4
58,1,4,5,5
59,4,5,5,5
60,1,4,4,4
61,4,4,5,5
62,5,5,5,5
63,1,1,5,5
64,5,4,1,1
65,5,5,5,1
66,4,4,2,2
67,1,5,5,5
68,4,4,5,5
69,1,3,5,5
70,4,3,4,4
71,4,4,5,5
72,5,5,5,5
73,1,5,5,5
74,3,4,2,4
75,4,4,4,4
76,4,4,4,4
77,3,5,5,5
78,1,5,4,4
79,4,4,4,4
80,4,4,4,4
81,4,4,4,4
82,1,5,5,5
83,1,4,5,5
84,4,4,4,4
85,5,5,5,5
86,1,4,5,5
87,4,4,4,4
88,4,4,5,5
89,1,1,4,4
90,4,4,4,4
91,1,1,2,2
92,5,5,5,5
93,1,1,4,4
94,1,1,4,4
95,2,2,5,5
96,5,5,5,5
97,5,5,5,5
98,1,3,4,4
99,1,4,5,5
100,4,4,4,4
101,1,1,5,5
102,5,5,1,1
103,1,1,4,4
104,3,1,1,1
105,4,4,3,3
106,1,5,5,1
107,4,4,4,4
108,1,5,5,1
109,1,1,5,1
