index,input_cultural,output_cultural,input_text,output_text
0,1,1,3,1
1,3,1,5,5
2,1,2,5,5
3,1,2,1,1
4,3,1,1,1
5,4,4,5,5
6,5,2,5,5
7,1,4,5,5
8,4,2,4,4
9,1,2,5,5
10,3,1,3,3
11,3,5,5,5
12,2,1,5,5
13,4,5,5,5
14,1,1,5,5
15,1,1,5,5
16,1,1,5,5
17,2,3,5,5
18,1,1,5,5
19,4,5,5,5
20,4,5,5,5
21,1,5,2,1
22,1,1,5,5
23,3,5,5,5
24,2,4,4,4
25,1,5,5,5
26,3,5,5,5
27,5,4,5,5
28,1,5,5,5
29,1,3,5,5
30,3,2,5,5
31,1,1,5,5
32,2,2,5,5
33,4,4,5,5
34,5,5,5,5
35,5,5,5,5
36,5,4,5,5
37,2,4,5,5
38,1,1,5,5
39,2,2,4,4
40,1,5,5,5
41,4,4,5,5
42,4,1,4,4
43,1,1,5,5
44,1,3,5,5
45,5,4,3,3
46,1,4,5,5
47,1,5,5,5
48,5,2,4,4
49,5,3,5,5
50,4,4,5,5
51,1,2,5,5
52,1,3,5,5
53,3,4,5,5
54,1,4,5,4
55,1,3,5,4
56,3,4,5,5
57,3,4,5,5
58,1,2,5,5
59,5,3,5,5
60,3,5,5,4
61,4,3,5,5
62,5,5,5,5
63,4,3,5,5
64,5,5,5,5
65,2,3,5,4
66,3,3,1,1
67,4,4,5,5
68,1,5,5,5
69,4,4,5,5
70,1,1,5,5
71,5,4,5,5
72,1,2,5,5
73,1,5,5,5
74,5,5,5,5
75,1,1,5,5
76,1,4,5,5
77,2,3,5,5
78,1,5,5,5
79,2,2,5,5
80,2,4,5,5
81,4,5,5,5
82,1,4,5,5
83,1,1,5,5
84,5,3,5,5
85,4,4,5,5
86,1,5,4,4
87,4,4,4,4
88,1,1,5,5
89,1,4,5,5
90,3,3,5,5
91,1,1,5,5
92,1,5,2,2
93,1,4,5,5
94,2,5,4,4
95,5,4,5,5
96,1,5,5,5
97,5,1,5,1
98,1,3,4,1
99,1,2,5,5
100,2,4,5,5
101,1,1,5,5
102,1,1,5,1
103,2,2,5,5
104,4,3,5,5
105,1,5,5,1
106,5,4,1,1
107,2,5,5,5
108,1,5,5,5
109,1,5,3,5
