index,input_cultural,output_cultural,input_text,output_text
0,1,1,2,1
1,1,1,3,1
2,1,1,4,4
3,1,4,1,1
4,3,2,1,1
5,2,1,3,3
6,5,1,4,4
7,1,4,4,4
8,1,2,2,2
9,3,1,5,5
10,1,1,2,2
11,3,3,4,2
12,1,1,4,3
13,3,5,5,5
14,1,1,5,5
15,1,1,4,3
16,1,5,4,4
17,1,3,5,5
18,1,1,3,3
19,3,2,4,4
20,1,4,1,5
21,1,4,3,2
22,1,1,5,5
23,3,5,4,4
24,5,3,4,2
25,2,4,2,2
26,3,3,4,4
27,4,2,4,4
28,1,3,4,4
29,2,5,3,3
30,1,3,3,4
31,1,2,3,3
32,1,1,4,4
33,1,1,4,4
34,4,4,5,5
35,1,5,4,5
36,2,3,2,3
37,1,1,5,5
38,4,2,5,5
39,2,3,1,1
40,1,5,4,4
41,2,2,3,4
42,4,1,3,2
43,1,5,5,5
44,1,1,3,3
45,1,1,1,1
46,1,1,3,3
47,1,5,3,3
48,5,1,2,2
49,3,2,4,4
50,5,3,4,4
51,1,2,2,3
52,1,4,4,4
53,3,5,3,3
54,1,5,4,4
55,1,5,4,4
56,1,1,4,4
57,2,5,3,4
58,1,2,3,3
59,4,1,4,4
60,1,5,3,3
61,3,1,4,4
62,2,4,5,4
63,1,1,3,3
64,1,1,2,2
65,1,3,3,2
66,1,1,1,1
67,4,4,4,4
68,1,2,4,4
69,2,2,3,3
70,1,1,3,3
71,5,1,5,5
72,1,1,4,4
73,1,5,3,3
74,1,1,1,1
75,2,2,5,5
76,1,3,5,5
77,3,5,1,1
78,1,5,3,3
79,1,1,3,3
80,2,3,4,4
81,2,4,5,5
82,1,5,4,4
83,1,1,3,3
84,4,2,4,4
85,1,1,4,4
86,1,5,2,4
87,2,3,3,3
88,1,1,3,3
89,1,5,5,4
90,3,4,5,5
91,1,1,3,3
92,1,5,3,3
93,1,2,3,3
94,1,5,1,3
95,1,1,4,4
96,1,4,5,5
97,3,5,3,1
98,1,2,2,2
99,1,1,4,4
100,2,2,1,1
101,1,1,3,3
102,2,1,5,1
103,1,1,3,3
104,1,1,1,1
105,1,2,3,1
106,5,2,1,1
107,4,4,4,4
108,1,5,4,4
109,1,5,2,2
