index,input_cultural,output_cultural,input_text,output_text
0,4,3,3,3
1,3,5,4,5
2,5,4,4,5
3,5,3,3,2
4,4,4,4,5
5,4,2,3,2
6,4,4,4,3
7,4,4,3,4
8,5,2,2,2
9,3,3,4,3
10,5,4,5,4
11,3,4,1,1
12,4,4,3,4
13,3,4,4,4
14,5,3,5,3
15,3,4,3,3
16,4,4,5,5
17,4,3,3,3
18,4,4,3,2
19,5,3,5,5
20,5,5,4,4
21,2,4,4,4
22,3,4,3,4
23,5,5,5,5
24,4,4,3,3
25,4,3,4,4
26,4,4,4,4
27,5,5,5,5
28,4,3,3,3
29,4,5,5,5
30,4,5,4,3
31,4,5,4,4
32,4,5,3,3
33,3,4,4,5
34,4,4,4,5
35,3,2,2,2
36,4,4,4,5
37,2,4,5,5
38,3,5,5,5
39,4,3,4,3
40,4,4,4,4
41,4,3,4,4
42,2,1,5,5
43,3,3,2,3
44,4,4,3,3
45,3,4,2,2
46,4,4,3,3
47,3,3,3,3
48,4,4,5,5
49,3,4,2,3
50,5,5,5,5
51,4,4,3,3
52,4,4,4,4
53,4,4,2,3
54,5,5,2,3
55,5,5,3,3
56,4,5,4,5
57,3,3,3,3
58,4,4,4,5
59,4,4,4,4
60,3,2,2,2
61,3,3,4,2
62,5,5,2,2
63,2,4,2,3
64,5,5,2,1
65,4,5,5,5
66,4,4,4,3
67,5,4,4,4
68,3,4,3,4
69,2,5,3,4
70,4,4,3,3
71,4,4,4,4
72,4,2,3,3
73,4,5,4,4
74,4,4,1,2
75,5,4,4,4
76,3,4,3,3
77,4,4,4,3
78,5,4,5,5
79,4,4,3,4
80,3,4,2,2
81,4,3,3,2
82,4,5,3,3
83,4,4,4,4
84,4,3,4,3
85,4,3,3,3
86,4,4,1,2
87,4,3,5,3
88,5,5,3,4
89,4,4,5,4
90,4,1,1,1
91,2,4,4,3
92,3,3,3,3
93,5,5,5,5
94,4,4,4,3
95,4,5,5,5
96,4,4,4,3
97,5,4,4,4
98,5,5,4,4
99,3,3,2,2
100,3,4,3,3
101,4,5,5,5
102,4,4,3,3
103,3,3,2,2
104,4,4,3,3
105,3,4,4,3
106,5,3,4,3
107,3,4,3,3
108,3,4,2,3
109,4,5,4,4
