index,input_cultural,output_cultural,input_text,output_text
0,4,4,5,5
1,4,2,5,5
2,3,3,4,4
3,3,2,5,5
4,3,3,5,5
5,4,2,5,5
6,3,3,4,4
7,3,1,5,5
8,4,4,5,5
9,3,3,4,4
10,1,3,4,4
11,4,4,5,5
12,2,2,5,5
13,1,5,5,5
14,1,1,5,5
15,1,5,5,5
16,5,1,5,5
17,2,2,5,5
18,1,1,2,2
19,5,5,5,5
20,5,5,5,5
21,1,1,5,5
22,5,1,5,5
23,2,2,5,5
24,4,1,4,4
25,3,2,4,4
26,3,3,3,3
27,4,4,5,5
28,1,1,4,4
29,4,4,5,5
30,4,4,4,4
31,4,1,5,5
32,2,5,1,1
33,2,2,5,5
34,5,2,5,4
35,1,1,4,4
36,5,4,5,5
37,1,1,4,4
38,5,3,5,4
39,1,1,2,2
40,1,1,5,5
41,1,1,5,5
42,3,3,4,4
43,1,4,4,4
44,4,4,5,5
45,5,5,5,5
46,3,3,4,4
47,1,4,5,5
48,1,1,4,4
49,1,1,4,4
50,5,5,5,5
51,3,3,5,5
52,1,5,5,5
53,2,5,5,5
54,2,4,5,5
55,2,2,4,4
56,1,1,5,5
57,4,4,4,4
58,1,3,5,5
59,5,3,5,5
60,4,4,5,5
61,4,4,5,5
62,4,4,1,1
63,2,2,5,5
64,4,3,3,3
65,1,1,4,4
66,1,1,2,2
67,1,5,4,4
68,1,5,5,5
69,5,2,5,5
70,1,5,4,2
71,3,5,5,5
72,3,3,4,4
73,1,1,4,4
74,5,5,5,5
75,2,4,5,5
76,1,3,4,2
77,3,5,4,4
78,1,5,4,4
79,1,5,5,5
80,4,3,4,4
81,1,5,5,5
82,1,1,1,1
83,1,1,4,4
84,5,5,4,4
85,2,5,5,5
86,1,1,2,2
87,2,5,4,1
88,5,5,5,5
89,3,5,5,5
90,2,2,4,4
91,1,1,4,4
92,4,4,5,5
93,1,5,5,5
94,5,5,5,5
95,1,1,5,5
96,1,1,4,4
97,3,3,4,4
98,2,2,4,4
99,1,1,4,4
100,1,4,4,4
101,1,2,4,1
102,1,5,4,4
103,2,2,3,3
104,1,2,4,4
105,1,3,4,2
106,5,5,1,1
107,5,5,4,4
108,5,5,5,5
109,3,3,5,3
