index,input_cultural,output_cultural,input_text,output_text
0,5,5,4,4
1,1,5,4,5
2,3,4,4,5
3,3,5,4,4
4,3,4,4,3
5,5,5,4,4
6,4,2,3,4
7,1,5,4,5
8,3,5,4,4
9,5,5,4,4
10,5,4,4,3
11,5,5,4,4
12,5,5,5,5
13,1,5,4,5
14,5,5,4,5
15,4,1,4,4
16,5,5,4,4
17,4,4,5,4
18,5,5,4,4
19,4,5,4,3
20,5,4,4,3
21,5,5,4,4
22,4,2,5,4
23,5,4,5,2
24,1,4,4,4
25,4,4,4,4
26,2,5,2,5
27,4,4,3,4
28,3,4,3,4
29,1,5,4,4
30,5,5,4,5
31,4,5,5,5
32,4,1,4,1
33,2,5,4,5
34,4,4,4,4
35,5,5,4,4
36,3,2,4,4
37,1,5,4,4
38,5,5,5,5
39,4,4,5,5
40,4,5,5,5
41,4,5,2,4
42,4,5,3,4
43,3,4,4,5
44,5,5,5,5
45,1,5,2,5
46,4,5,5,4
47,1,4,4,4
48,4,4,4,5
49,5,5,5,5
50,5,5,4,5
51,1,5,4,4
52,4,5,4,5
53,5,4,5,4
54,4,4,4,4
55,4,5,4,4
56,5,5,4,4
57,2,5,4,5
58,5,5,4,4
59,4,2,4,3
60,5,5,4,4
61,5,5,4,5
62,5,5,4,3
63,4,3,5,4
64,3,4,4,3
65,1,5,4,5
66,4,5,3,5
67,5,5,4,4
68,1,5,4,5
69,5,5,4,4
70,5,4,4,4
71,5,5,4,4
72,4,4,4,4
73,1,1,4,4
74,4,5,4,4
75,5,5,5,5
76,5,5,5,4
77,4,4,4,4
78,4,5,2,4
79,4,5,4,4
80,4,5,2,4
81,5,4,4,5
82,5,5,5,4
83,5,5,4,4
84,4,5,4,4
85,4,5,4,5
86,4,2,4,5
87,5,4,4,4
88,5,5,5,4
89,5,3,4,4
90,5,5,4,5
91,5,5,4,5
92,4,4,4,4
93,1,5,4,5
94,1,4,4,4
95,5,4,5,3
96,5,5,4,4
97,3,5,4,5
98,2,4,4,4
99,3,4,4,4
100,5,4,3,4
101,5,5,5,4
102,5,5,2,5
103,4,5,4,3
104,5,5,4,5
105,2,2,3,4
106,1,5,3,4
107,1,5,1,5
108,5,2,4,4
109,5,2,5,2
