index,input_cultural,output_cultural,input_text,output_text
0,1,1,4,4
1,1,4,5,5
2,1,3,5,5
3,4,3,4,4
4,1,1,4,5
5,3,3,4,5
6,2,2,4,4
7,1,5,5,5
8,1,3,4,4
9,1,1,4,4
10,1,4,3,3
11,1,1,4,5
12,2,4,5,5
13,1,3,4,4
14,2,4,5,5
15,1,2,4,4
16,1,1,5,5
17,2,2,5,4
18,1,2,3,3
19,2,1,4,4
20,2,4,5,5
21,1,1,4,4
22,1,1,5,5
23,5,4,5,5
24,1,2,5,5
25,1,2,3,3
26,1,1,3,3
27,3,3,5,5
28,1,1,4,4
29,1,1,3,3
30,3,3,4,4
31,1,1,4,4
32,1,1,3,3
33,3,3,4,4
34,1,1,5,5
35,1,1,5,5
36,1,1,3,3
37,3,1,4,4
38,3,3,5,5
39,1,1,3,4
40,1,1,5,5
41,2,2,5,5
42,1,1,2,1
43,1,2,5,5
44,1,5,4,5
45,1,1,4,4
46,2,1,4,4
47,1,2,4,3
48,1,1,4,5
49,1,1,4,4
50,1,2,5,5
51,1,4,4,4
52,1,1,4,4
53,3,3,5,5
54,1,1,4,4
55,1,2,4,4
56,1,4,3,4
57,2,4,2,4
58,1,1,4,4
59,3,4,5,5
60,2,2,4,4
61,1,2,5,5
62,2,2,4,4
63,1,1,4,4
64,1,4,4,5
65,3,2,4,4
66,4,2,4,4
67,1,1,5,5
68,1,1,5,5
69,1,5,5,5
70,1,1,5,5
71,2,3,5,5
72,2,4,4,5
73,1,2,5,5
74,1,1,3,3
75,3,3,4,4
76,3,1,5,5
77,2,2,3,3
78,1,2,4,4
79,2,5,5,5
80,1,1,4,4
81,2,2,4,4
82,3,3,4,5
83,1,1,2,2
84,1,1,5,5
85,2,2,5,5
86,1,1,3,4
87,3,3,3,3
88,1,1,4,5
89,1,1,3,3
90,3,1,5,5
91,1,1,5,5
92,1,1,3,3
93,1,1,4,4
94,1,1,5,5
95,1,2,5,5
96,2,1,2,1
97,4,4,5,5
98,1,1,4,4
99,1,3,5,5
100,1,1,5,5
101,1,1,5,1
102,4,4,4,5
103,2,1,5,5
104,1,2,5,5
105,1,2,5,5
106,1,1,1,1
107,1,1,4,4
108,1,2,3,1
109,1,1,4,4
